date,date_key,year,quarter,year_quarter,month_number,month,month_short,year_month,week_number,day,day_of_week,day_of_week_num,is_weekend
2014-10-03,20141003,2014,Q4,2014-Q4,10,October,Oct,2014-10,40,3,Friday,5,0
2014-10-04,20141004,2014,Q4,2014-Q4,10,October,Oct,2014-10,40,4,Saturday,6,1
2014-10-05,20141005,2014,Q4,2014-Q4,10,October,Oct,2014-10,40,5,Sunday,7,1
2014-10-06,20141006,2014,Q4,2014-Q4,10,October,Oct,2014-10,41,6,Monday,1,0
2014-10-07,20141007,2014,Q4,2014-Q4,10,October,Oct,2014-10,41,7,Tuesday,2,0
2014-10-08,20141008,2014,Q4,2014-Q4,10,October,Oct,2014-10,41,8,Wednesday,3,0
2014-10-09,20141009,2014,Q4,2014-Q4,10,October,Oct,2014-10,41,9,Thursday,4,0
2014-10-10,20141010,2014,Q4,2014-Q4,10,October,Oct,2014-10,41,10,Friday,5,0
2014-10-11,20141011,2014,Q4,2014-Q4,10,October,Oct,2014-10,41,11,Saturday,6,1
2014-10-12,20141012,2014,Q4,2014-Q4,10,October,Oct,2014-10,41,12,Sunday,7,1
2014-10-13,20141013,2014,Q4,2014-Q4,10,October,Oct,2014-10,42,13,Monday,1,0
2014-10-14,20141014,2014,Q4,2014-Q4,10,October,Oct,2014-10,42,14,Tuesday,2,0
2014-10-15,20141015,2014,Q4,2014-Q4,10,October,Oct,2014-10,42,15,Wednesday,3,0
2014-10-16,20141016,2014,Q4,2014-Q4,10,October,Oct,2014-10,42,16,Thursday,4,0
2014-10-17,20141017,2014,Q4,2014-Q4,10,October,Oct,2014-10,42,17,Friday,5,0
2014-10-18,20141018,2014,Q4,2014-Q4,10,October,Oct,2014-10,42,18,Saturday,6,1
2014-10-19,20141019,2014,Q4,2014-Q4,10,October,Oct,2014-10,42,19,Sunday,7,1
2014-10-20,20141020,2014,Q4,2014-Q4,10,October,Oct,2014-10,43,20,Monday,1,0
2014-10-21,20141021,2014,Q4,2014-Q4,10,October,Oct,2014-10,43,21,Tuesday,2,0
2014-10-22,20141022,2014,Q4,2014-Q4,10,October,Oct,2014-10,43,22,Wednesday,3,0
2014-10-23,20141023,2014,Q4,2014-Q4,10,October,Oct,2014-10,43,23,Thursday,4,0
2014-10-24,20141024,2014,Q4,2014-Q4,10,October,Oct,2014-10,43,24,Friday,5,0
2014-10-25,20141025,2014,Q4,2014-Q4,10,October,Oct,2014-10,43,25,Saturday,6,1
2014-10-26,20141026,2014,Q4,2014-Q4,10,October,Oct,2014-10,43,26,Sunday,7,1
2014-10-27,20141027,2014,Q4,2014-Q4,10,October,Oct,2014-10,44,27,Monday,1,0
2014-10-28,20141028,2014,Q4,2014-Q4,10,October,Oct,2014-10,44,28,Tuesday,2,0
2014-10-29,20141029,2014,Q4,2014-Q4,10,October,Oct,2014-10,44,29,Wednesday,3,0
2014-10-30,20141030,2014,Q4,2014-Q4,10,October,Oct,2014-10,44,30,Thursday,4,0
2014-10-31,20141031,2014,Q4,2014-Q4,10,October,Oct,2014-10,44,31,Friday,5,0
2014-11-01,20141101,2014,Q4,2014-Q4,11,November,Nov,2014-11,44,1,Saturday,6,1
2014-11-02,20141102,2014,Q4,2014-Q4,11,November,Nov,2014-11,44,2,Sunday,7,1
2014-11-03,20141103,2014,Q4,2014-Q4,11,November,Nov,2014-11,45,3,Monday,1,0
2014-11-04,20141104,2014,Q4,2014-Q4,11,November,Nov,2014-11,45,4,Tuesday,2,0
2014-11-05,20141105,2014,Q4,2014-Q4,11,November,Nov,2014-11,45,5,Wednesday,3,0
2014-11-06,20141106,2014,Q4,2014-Q4,11,November,Nov,2014-11,45,6,Thursday,4,0
2014-11-07,20141107,2014,Q4,2014-Q4,11,November,Nov,2014-11,45,7,Friday,5,0
2014-11-08,20141108,2014,Q4,2014-Q4,11,November,Nov,2014-11,45,8,Saturday,6,1
2014-11-09,20141109,2014,Q4,2014-Q4,11,November,Nov,2014-11,45,9,Sunday,7,1
2014-11-10,20141110,2014,Q4,2014-Q4,11,November,Nov,2014-11,46,10,Monday,1,0
2014-11-11,20141111,2014,Q4,2014-Q4,11,November,Nov,2014-11,46,11,Tuesday,2,0
2014-11-12,20141112,2014,Q4,2014-Q4,11,November,Nov,2014-11,46,12,Wednesday,3,0
2014-11-13,20141113,2014,Q4,2014-Q4,11,November,Nov,2014-11,46,13,Thursday,4,0
2014-11-14,20141114,2014,Q4,2014-Q4,11,November,Nov,2014-11,46,14,Friday,5,0
2014-11-15,20141115,2014,Q4,2014-Q4,11,November,Nov,2014-11,46,15,Saturday,6,1
2014-11-16,20141116,2014,Q4,2014-Q4,11,November,Nov,2014-11,46,16,Sunday,7,1
2014-11-17,20141117,2014,Q4,2014-Q4,11,November,Nov,2014-11,47,17,Monday,1,0
2014-11-18,20141118,2014,Q4,2014-Q4,11,November,Nov,2014-11,47,18,Tuesday,2,0
2014-11-19,20141119,2014,Q4,2014-Q4,11,November,Nov,2014-11,47,19,Wednesday,3,0
2014-11-20,20141120,2014,Q4,2014-Q4,11,November,Nov,2014-11,47,20,Thursday,4,0
2014-11-21,20141121,2014,Q4,2014-Q4,11,November,Nov,2014-11,47,21,Friday,5,0
2014-11-22,20141122,2014,Q4,2014-Q4,11,November,Nov,2014-11,47,22,Saturday,6,1
2014-11-23,20141123,2014,Q4,2014-Q4,11,November,Nov,2014-11,47,23,Sunday,7,1
2014-11-24,20141124,2014,Q4,2014-Q4,11,November,Nov,2014-11,48,24,Monday,1,0
2014-11-25,20141125,2014,Q4,2014-Q4,11,November,Nov,2014-11,48,25,Tuesday,2,0
2014-11-26,20141126,2014,Q4,2014-Q4,11,November,Nov,2014-11,48,26,Wednesday,3,0
2014-11-27,20141127,2014,Q4,2014-Q4,11,November,Nov,2014-11,48,27,Thursday,4,0
2014-11-28,20141128,2014,Q4,2014-Q4,11,November,Nov,2014-11,48,28,Friday,5,0
2014-11-29,20141129,2014,Q4,2014-Q4,11,November,Nov,2014-11,48,29,Saturday,6,1
2014-11-30,20141130,2014,Q4,2014-Q4,11,November,Nov,2014-11,48,30,Sunday,7,1
2014-12-01,20141201,2014,Q4,2014-Q4,12,December,Dec,2014-12,49,1,Monday,1,0
2014-12-02,20141202,2014,Q4,2014-Q4,12,December,Dec,2014-12,49,2,Tuesday,2,0
2014-12-03,20141203,2014,Q4,2014-Q4,12,December,Dec,2014-12,49,3,Wednesday,3,0
2014-12-04,20141204,2014,Q4,2014-Q4,12,December,Dec,2014-12,49,4,Thursday,4,0
2014-12-05,20141205,2014,Q4,2014-Q4,12,December,Dec,2014-12,49,5,Friday,5,0
2014-12-06,20141206,2014,Q4,2014-Q4,12,December,Dec,2014-12,49,6,Saturday,6,1
2014-12-07,20141207,2014,Q4,2014-Q4,12,December,Dec,2014-12,49,7,Sunday,7,1
2014-12-08,20141208,2014,Q4,2014-Q4,12,December,Dec,2014-12,50,8,Monday,1,0
2014-12-09,20141209,2014,Q4,2014-Q4,12,December,Dec,2014-12,50,9,Tuesday,2,0
2014-12-10,20141210,2014,Q4,2014-Q4,12,December,Dec,2014-12,50,10,Wednesday,3,0
2014-12-11,20141211,2014,Q4,2014-Q4,12,December,Dec,2014-12,50,11,Thursday,4,0
2014-12-12,20141212,2014,Q4,2014-Q4,12,December,Dec,2014-12,50,12,Friday,5,0
2014-12-13,20141213,2014,Q4,2014-Q4,12,December,Dec,2014-12,50,13,Saturday,6,1
2014-12-14,20141214,2014,Q4,2014-Q4,12,December,Dec,2014-12,50,14,Sunday,7,1
2014-12-15,20141215,2014,Q4,2014-Q4,12,December,Dec,2014-12,51,15,Monday,1,0
2014-12-16,20141216,2014,Q4,2014-Q4,12,December,Dec,2014-12,51,16,Tuesday,2,0
2014-12-17,20141217,2014,Q4,2014-Q4,12,December,Dec,2014-12,51,17,Wednesday,3,0
2014-12-18,20141218,2014,Q4,2014-Q4,12,December,Dec,2014-12,51,18,Thursday,4,0
2014-12-19,20141219,2014,Q4,2014-Q4,12,December,Dec,2014-12,51,19,Friday,5,0
2014-12-20,20141220,2014,Q4,2014-Q4,12,December,Dec,2014-12,51,20,Saturday,6,1
2014-12-21,20141221,2014,Q4,2014-Q4,12,December,Dec,2014-12,51,21,Sunday,7,1
2014-12-22,20141222,2014,Q4,2014-Q4,12,December,Dec,2014-12,52,22,Monday,1,0
2014-12-23,20141223,2014,Q4,2014-Q4,12,December,Dec,2014-12,52,23,Tuesday,2,0
2014-12-24,20141224,2014,Q4,2014-Q4,12,December,Dec,2014-12,52,24,Wednesday,3,0
2014-12-25,20141225,2014,Q4,2014-Q4,12,December,Dec,2014-12,52,25,Thursday,4,0
2014-12-26,20141226,2014,Q4,2014-Q4,12,December,Dec,2014-12,52,26,Friday,5,0
2014-12-27,20141227,2014,Q4,2014-Q4,12,December,Dec,2014-12,52,27,Saturday,6,1
2014-12-28,20141228,2014,Q4,2014-Q4,12,December,Dec,2014-12,52,28,Sunday,7,1
2014-12-29,20141229,2014,Q4,2014-Q4,12,December,Dec,2014-12,1,29,Monday,1,0
2014-12-30,20141230,2014,Q4,2014-Q4,12,December,Dec,2014-12,1,30,Tuesday,2,0
2014-12-31,20141231,2014,Q4,2014-Q4,12,December,Dec,2014-12,1,31,Wednesday,3,0
2015-01-01,20150101,2015,Q1,2015-Q1,1,January,Jan,2015-01,1,1,Thursday,4,0
2015-01-02,20150102,2015,Q1,2015-Q1,1,January,Jan,2015-01,1,2,Friday,5,0
2015-01-03,20150103,2015,Q1,2015-Q1,1,January,Jan,2015-01,1,3,Saturday,6,1
2015-01-04,20150104,2015,Q1,2015-Q1,1,January,Jan,2015-01,1,4,Sunday,7,1
2015-01-05,20150105,2015,Q1,2015-Q1,1,January,Jan,2015-01,2,5,Monday,1,0
2015-01-06,20150106,2015,Q1,2015-Q1,1,January,Jan,2015-01,2,6,Tuesday,2,0
2015-01-07,20150107,2015,Q1,2015-Q1,1,January,Jan,2015-01,2,7,Wednesday,3,0
2015-01-08,20150108,2015,Q1,2015-Q1,1,January,Jan,2015-01,2,8,Thursday,4,0
2015-01-09,20150109,2015,Q1,2015-Q1,1,January,Jan,2015-01,2,9,Friday,5,0
2015-01-10,20150110,2015,Q1,2015-Q1,1,January,Jan,2015-01,2,10,Saturday,6,1
2015-01-11,20150111,2015,Q1,2015-Q1,1,January,Jan,2015-01,2,11,Sunday,7,1
2015-01-12,20150112,2015,Q1,2015-Q1,1,January,Jan,2015-01,3,12,Monday,1,0
2015-01-13,20150113,2015,Q1,2015-Q1,1,January,Jan,2015-01,3,13,Tuesday,2,0
2015-01-14,20150114,2015,Q1,2015-Q1,1,January,Jan,2015-01,3,14,Wednesday,3,0
2015-01-15,20150115,2015,Q1,2015-Q1,1,January,Jan,2015-01,3,15,Thursday,4,0
2015-01-16,20150116,2015,Q1,2015-Q1,1,January,Jan,2015-01,3,16,Friday,5,0
2015-01-17,20150117,2015,Q1,2015-Q1,1,January,Jan,2015-01,3,17,Saturday,6,1
2015-01-18,20150118,2015,Q1,2015-Q1,1,January,Jan,2015-01,3,18,Sunday,7,1
2015-01-19,20150119,2015,Q1,2015-Q1,1,January,Jan,2015-01,4,19,Monday,1,0
2015-01-20,20150120,2015,Q1,2015-Q1,1,January,Jan,2015-01,4,20,Tuesday,2,0
2015-01-21,20150121,2015,Q1,2015-Q1,1,January,Jan,2015-01,4,21,Wednesday,3,0
2015-01-22,20150122,2015,Q1,2015-Q1,1,January,Jan,2015-01,4,22,Thursday,4,0
2015-01-23,20150123,2015,Q1,2015-Q1,1,January,Jan,2015-01,4,23,Friday,5,0
2015-01-24,20150124,2015,Q1,2015-Q1,1,January,Jan,2015-01,4,24,Saturday,6,1
2015-01-25,20150125,2015,Q1,2015-Q1,1,January,Jan,2015-01,4,25,Sunday,7,1
2015-01-26,20150126,2015,Q1,2015-Q1,1,January,Jan,2015-01,5,26,Monday,1,0
2015-01-27,20150127,2015,Q1,2015-Q1,1,January,Jan,2015-01,5,27,Tuesday,2,0
2015-01-28,20150128,2015,Q1,2015-Q1,1,January,Jan,2015-01,5,28,Wednesday,3,0
2015-01-29,20150129,2015,Q1,2015-Q1,1,January,Jan,2015-01,5,29,Thursday,4,0
2015-01-30,20150130,2015,Q1,2015-Q1,1,January,Jan,2015-01,5,30,Friday,5,0
2015-01-31,20150131,2015,Q1,2015-Q1,1,January,Jan,2015-01,5,31,Saturday,6,1
2015-02-01,20150201,2015,Q1,2015-Q1,2,February,Feb,2015-02,5,1,Sunday,7,1
2015-02-02,20150202,2015,Q1,2015-Q1,2,February,Feb,2015-02,6,2,Monday,1,0
2015-02-03,20150203,2015,Q1,2015-Q1,2,February,Feb,2015-02,6,3,Tuesday,2,0
2015-02-04,20150204,2015,Q1,2015-Q1,2,February,Feb,2015-02,6,4,Wednesday,3,0
2015-02-05,20150205,2015,Q1,2015-Q1,2,February,Feb,2015-02,6,5,Thursday,4,0
2015-02-06,20150206,2015,Q1,2015-Q1,2,February,Feb,2015-02,6,6,Friday,5,0
2015-02-07,20150207,2015,Q1,2015-Q1,2,February,Feb,2015-02,6,7,Saturday,6,1
2015-02-08,20150208,2015,Q1,2015-Q1,2,February,Feb,2015-02,6,8,Sunday,7,1
2015-02-09,20150209,2015,Q1,2015-Q1,2,February,Feb,2015-02,7,9,Monday,1,0
2015-02-10,20150210,2015,Q1,2015-Q1,2,February,Feb,2015-02,7,10,Tuesday,2,0
2015-02-11,20150211,2015,Q1,2015-Q1,2,February,Feb,2015-02,7,11,Wednesday,3,0
2015-02-12,20150212,2015,Q1,2015-Q1,2,February,Feb,2015-02,7,12,Thursday,4,0
2015-02-13,20150213,2015,Q1,2015-Q1,2,February,Feb,2015-02,7,13,Friday,5,0
2015-02-14,20150214,2015,Q1,2015-Q1,2,February,Feb,2015-02,7,14,Saturday,6,1
2015-02-15,20150215,2015,Q1,2015-Q1,2,February,Feb,2015-02,7,15,Sunday,7,1
2015-02-16,20150216,2015,Q1,2015-Q1,2,February,Feb,2015-02,8,16,Monday,1,0
2015-02-17,20150217,2015,Q1,2015-Q1,2,February,Feb,2015-02,8,17,Tuesday,2,0
2015-02-18,20150218,2015,Q1,2015-Q1,2,February,Feb,2015-02,8,18,Wednesday,3,0
2015-02-19,20150219,2015,Q1,2015-Q1,2,February,Feb,2015-02,8,19,Thursday,4,0
2015-02-20,20150220,2015,Q1,2015-Q1,2,February,Feb,2015-02,8,20,Friday,5,0
2015-02-21,20150221,2015,Q1,2015-Q1,2,February,Feb,2015-02,8,21,Saturday,6,1
2015-02-22,20150222,2015,Q1,2015-Q1,2,February,Feb,2015-02,8,22,Sunday,7,1
2015-02-23,20150223,2015,Q1,2015-Q1,2,February,Feb,2015-02,9,23,Monday,1,0
2015-02-24,20150224,2015,Q1,2015-Q1,2,February,Feb,2015-02,9,24,Tuesday,2,0
2015-02-25,20150225,2015,Q1,2015-Q1,2,February,Feb,2015-02,9,25,Wednesday,3,0
2015-02-26,20150226,2015,Q1,2015-Q1,2,February,Feb,2015-02,9,26,Thursday,4,0
2015-02-27,20150227,2015,Q1,2015-Q1,2,February,Feb,2015-02,9,27,Friday,5,0
2015-02-28,20150228,2015,Q1,2015-Q1,2,February,Feb,2015-02,9,28,Saturday,6,1
2015-03-01,20150301,2015,Q1,2015-Q1,3,March,Mar,2015-03,9,1,Sunday,7,1
2015-03-02,20150302,2015,Q1,2015-Q1,3,March,Mar,2015-03,10,2,Monday,1,0
2015-03-03,20150303,2015,Q1,2015-Q1,3,March,Mar,2015-03,10,3,Tuesday,2,0
2015-03-04,20150304,2015,Q1,2015-Q1,3,March,Mar,2015-03,10,4,Wednesday,3,0
2015-03-05,20150305,2015,Q1,2015-Q1,3,March,Mar,2015-03,10,5,Thursday,4,0
2015-03-06,20150306,2015,Q1,2015-Q1,3,March,Mar,2015-03,10,6,Friday,5,0
2015-03-07,20150307,2015,Q1,2015-Q1,3,March,Mar,2015-03,10,7,Saturday,6,1
2015-03-08,20150308,2015,Q1,2015-Q1,3,March,Mar,2015-03,10,8,Sunday,7,1
2015-03-09,20150309,2015,Q1,2015-Q1,3,March,Mar,2015-03,11,9,Monday,1,0
2015-03-10,20150310,2015,Q1,2015-Q1,3,March,Mar,2015-03,11,10,Tuesday,2,0
2015-03-11,20150311,2015,Q1,2015-Q1,3,March,Mar,2015-03,11,11,Wednesday,3,0
2015-03-12,20150312,2015,Q1,2015-Q1,3,March,Mar,2015-03,11,12,Thursday,4,0
2015-03-13,20150313,2015,Q1,2015-Q1,3,March,Mar,2015-03,11,13,Friday,5,0
2015-03-14,20150314,2015,Q1,2015-Q1,3,March,Mar,2015-03,11,14,Saturday,6,1
2015-03-15,20150315,2015,Q1,2015-Q1,3,March,Mar,2015-03,11,15,Sunday,7,1
2015-03-16,20150316,2015,Q1,2015-Q1,3,March,Mar,2015-03,12,16,Monday,1,0
2015-03-17,20150317,2015,Q1,2015-Q1,3,March,Mar,2015-03,12,17,Tuesday,2,0
2015-03-18,20150318,2015,Q1,2015-Q1,3,March,Mar,2015-03,12,18,Wednesday,3,0
2015-03-19,20150319,2015,Q1,2015-Q1,3,March,Mar,2015-03,12,19,Thursday,4,0
2015-03-20,20150320,2015,Q1,2015-Q1,3,March,Mar,2015-03,12,20,Friday,5,0
2015-03-21,20150321,2015,Q1,2015-Q1,3,March,Mar,2015-03,12,21,Saturday,6,1
2015-03-22,20150322,2015,Q1,2015-Q1,3,March,Mar,2015-03,12,22,Sunday,7,1
2015-03-23,20150323,2015,Q1,2015-Q1,3,March,Mar,2015-03,13,23,Monday,1,0
2015-03-24,20150324,2015,Q1,2015-Q1,3,March,Mar,2015-03,13,24,Tuesday,2,0
2015-03-25,20150325,2015,Q1,2015-Q1,3,March,Mar,2015-03,13,25,Wednesday,3,0
2015-03-26,20150326,2015,Q1,2015-Q1,3,March,Mar,2015-03,13,26,Thursday,4,0
2015-03-27,20150327,2015,Q1,2015-Q1,3,March,Mar,2015-03,13,27,Friday,5,0
2015-03-28,20150328,2015,Q1,2015-Q1,3,March,Mar,2015-03,13,28,Saturday,6,1
2015-03-29,20150329,2015,Q1,2015-Q1,3,March,Mar,2015-03,13,29,Sunday,7,1
2015-03-30,20150330,2015,Q1,2015-Q1,3,March,Mar,2015-03,14,30,Monday,1,0
2015-03-31,20150331,2015,Q1,2015-Q1,3,March,Mar,2015-03,14,31,Tuesday,2,0
2015-04-01,20150401,2015,Q2,2015-Q2,4,April,Apr,2015-04,14,1,Wednesday,3,0
2015-04-02,20150402,2015,Q2,2015-Q2,4,April,Apr,2015-04,14,2,Thursday,4,0
2015-04-03,20150403,2015,Q2,2015-Q2,4,April,Apr,2015-04,14,3,Friday,5,0
2015-04-04,20150404,2015,Q2,2015-Q2,4,April,Apr,2015-04,14,4,Saturday,6,1
2015-04-05,20150405,2015,Q2,2015-Q2,4,April,Apr,2015-04,14,5,Sunday,7,1
2015-04-06,20150406,2015,Q2,2015-Q2,4,April,Apr,2015-04,15,6,Monday,1,0
2015-04-07,20150407,2015,Q2,2015-Q2,4,April,Apr,2015-04,15,7,Tuesday,2,0
2015-04-08,20150408,2015,Q2,2015-Q2,4,April,Apr,2015-04,15,8,Wednesday,3,0
2015-04-09,20150409,2015,Q2,2015-Q2,4,April,Apr,2015-04,15,9,Thursday,4,0
2015-04-10,20150410,2015,Q2,2015-Q2,4,April,Apr,2015-04,15,10,Friday,5,0
2015-04-11,20150411,2015,Q2,2015-Q2,4,April,Apr,2015-04,15,11,Saturday,6,1
2015-04-12,20150412,2015,Q2,2015-Q2,4,April,Apr,2015-04,15,12,Sunday,7,1
2015-04-13,20150413,2015,Q2,2015-Q2,4,April,Apr,2015-04,16,13,Monday,1,0
2015-04-14,20150414,2015,Q2,2015-Q2,4,April,Apr,2015-04,16,14,Tuesday,2,0
2015-04-15,20150415,2015,Q2,2015-Q2,4,April,Apr,2015-04,16,15,Wednesday,3,0
2015-04-16,20150416,2015,Q2,2015-Q2,4,April,Apr,2015-04,16,16,Thursday,4,0
2015-04-17,20150417,2015,Q2,2015-Q2,4,April,Apr,2015-04,16,17,Friday,5,0
2015-04-18,20150418,2015,Q2,2015-Q2,4,April,Apr,2015-04,16,18,Saturday,6,1
2015-04-19,20150419,2015,Q2,2015-Q2,4,April,Apr,2015-04,16,19,Sunday,7,1
2015-04-20,20150420,2015,Q2,2015-Q2,4,April,Apr,2015-04,17,20,Monday,1,0
2015-04-21,20150421,2015,Q2,2015-Q2,4,April,Apr,2015-04,17,21,Tuesday,2,0
2015-04-22,20150422,2015,Q2,2015-Q2,4,April,Apr,2015-04,17,22,Wednesday,3,0
2015-04-23,20150423,2015,Q2,2015-Q2,4,April,Apr,2015-04,17,23,Thursday,4,0
2015-04-24,20150424,2015,Q2,2015-Q2,4,April,Apr,2015-04,17,24,Friday,5,0
2015-04-25,20150425,2015,Q2,2015-Q2,4,April,Apr,2015-04,17,25,Saturday,6,1
2015-04-26,20150426,2015,Q2,2015-Q2,4,April,Apr,2015-04,17,26,Sunday,7,1
2015-04-27,20150427,2015,Q2,2015-Q2,4,April,Apr,2015-04,18,27,Monday,1,0
2015-04-28,20150428,2015,Q2,2015-Q2,4,April,Apr,2015-04,18,28,Tuesday,2,0
2015-04-29,20150429,2015,Q2,2015-Q2,4,April,Apr,2015-04,18,29,Wednesday,3,0
2015-04-30,20150430,2015,Q2,2015-Q2,4,April,Apr,2015-04,18,30,Thursday,4,0
2015-05-01,20150501,2015,Q2,2015-Q2,5,May,May,2015-05,18,1,Friday,5,0
2015-05-02,20150502,2015,Q2,2015-Q2,5,May,May,2015-05,18,2,Saturday,6,1
2015-05-03,20150503,2015,Q2,2015-Q2,5,May,May,2015-05,18,3,Sunday,7,1
2015-05-04,20150504,2015,Q2,2015-Q2,5,May,May,2015-05,19,4,Monday,1,0
2015-05-05,20150505,2015,Q2,2015-Q2,5,May,May,2015-05,19,5,Tuesday,2,0
2015-05-06,20150506,2015,Q2,2015-Q2,5,May,May,2015-05,19,6,Wednesday,3,0
2015-05-07,20150507,2015,Q2,2015-Q2,5,May,May,2015-05,19,7,Thursday,4,0
2015-05-08,20150508,2015,Q2,2015-Q2,5,May,May,2015-05,19,8,Friday,5,0
2015-05-09,20150509,2015,Q2,2015-Q2,5,May,May,2015-05,19,9,Saturday,6,1
2015-05-10,20150510,2015,Q2,2015-Q2,5,May,May,2015-05,19,10,Sunday,7,1
2015-05-11,20150511,2015,Q2,2015-Q2,5,May,May,2015-05,20,11,Monday,1,0
2015-05-12,20150512,2015,Q2,2015-Q2,5,May,May,2015-05,20,12,Tuesday,2,0
2015-05-13,20150513,2015,Q2,2015-Q2,5,May,May,2015-05,20,13,Wednesday,3,0
2015-05-14,20150514,2015,Q2,2015-Q2,5,May,May,2015-05,20,14,Thursday,4,0
2015-05-15,20150515,2015,Q2,2015-Q2,5,May,May,2015-05,20,15,Friday,5,0
2015-05-16,20150516,2015,Q2,2015-Q2,5,May,May,2015-05,20,16,Saturday,6,1
2015-05-17,20150517,2015,Q2,2015-Q2,5,May,May,2015-05,20,17,Sunday,7,1
2015-05-18,20150518,2015,Q2,2015-Q2,5,May,May,2015-05,21,18,Monday,1,0
2015-05-19,20150519,2015,Q2,2015-Q2,5,May,May,2015-05,21,19,Tuesday,2,0
2015-05-20,20150520,2015,Q2,2015-Q2,5,May,May,2015-05,21,20,Wednesday,3,0
2015-05-21,20150521,2015,Q2,2015-Q2,5,May,May,2015-05,21,21,Thursday,4,0
2015-05-22,20150522,2015,Q2,2015-Q2,5,May,May,2015-05,21,22,Friday,5,0
2015-05-23,20150523,2015,Q2,2015-Q2,5,May,May,2015-05,21,23,Saturday,6,1
2015-05-24,20150524,2015,Q2,2015-Q2,5,May,May,2015-05,21,24,Sunday,7,1
2015-05-25,20150525,2015,Q2,2015-Q2,5,May,May,2015-05,22,25,Monday,1,0
2015-05-26,20150526,2015,Q2,2015-Q2,5,May,May,2015-05,22,26,Tuesday,2,0
2015-05-27,20150527,2015,Q2,2015-Q2,5,May,May,2015-05,22,27,Wednesday,3,0
2015-05-28,20150528,2015,Q2,2015-Q2,5,May,May,2015-05,22,28,Thursday,4,0
2015-05-29,20150529,2015,Q2,2015-Q2,5,May,May,2015-05,22,29,Friday,5,0
2015-05-30,20150530,2015,Q2,2015-Q2,5,May,May,2015-05,22,30,Saturday,6,1
2015-05-31,20150531,2015,Q2,2015-Q2,5,May,May,2015-05,22,31,Sunday,7,1
2015-06-01,20150601,2015,Q2,2015-Q2,6,June,Jun,2015-06,23,1,Monday,1,0
2015-06-02,20150602,2015,Q2,2015-Q2,6,June,Jun,2015-06,23,2,Tuesday,2,0
2015-06-03,20150603,2015,Q2,2015-Q2,6,June,Jun,2015-06,23,3,Wednesday,3,0
2015-06-04,20150604,2015,Q2,2015-Q2,6,June,Jun,2015-06,23,4,Thursday,4,0
2015-06-05,20150605,2015,Q2,2015-Q2,6,June,Jun,2015-06,23,5,Friday,5,0
2015-06-06,20150606,2015,Q2,2015-Q2,6,June,Jun,2015-06,23,6,Saturday,6,1
2015-06-07,20150607,2015,Q2,2015-Q2,6,June,Jun,2015-06,23,7,Sunday,7,1
2015-06-08,20150608,2015,Q2,2015-Q2,6,June,Jun,2015-06,24,8,Monday,1,0
2015-06-09,20150609,2015,Q2,2015-Q2,6,June,Jun,2015-06,24,9,Tuesday,2,0
2015-06-10,20150610,2015,Q2,2015-Q2,6,June,Jun,2015-06,24,10,Wednesday,3,0
2015-06-11,20150611,2015,Q2,2015-Q2,6,June,Jun,2015-06,24,11,Thursday,4,0
2015-06-12,20150612,2015,Q2,2015-Q2,6,June,Jun,2015-06,24,12,Friday,5,0
2015-06-13,20150613,2015,Q2,2015-Q2,6,June,Jun,2015-06,24,13,Saturday,6,1
2015-06-14,20150614,2015,Q2,2015-Q2,6,June,Jun,2015-06,24,14,Sunday,7,1
2015-06-15,20150615,2015,Q2,2015-Q2,6,June,Jun,2015-06,25,15,Monday,1,0
2015-06-16,20150616,2015,Q2,2015-Q2,6,June,Jun,2015-06,25,16,Tuesday,2,0
2015-06-17,20150617,2015,Q2,2015-Q2,6,June,Jun,2015-06,25,17,Wednesday,3,0
2015-06-18,20150618,2015,Q2,2015-Q2,6,June,Jun,2015-06,25,18,Thursday,4,0
2015-06-19,20150619,2015,Q2,2015-Q2,6,June,Jun,2015-06,25,19,Friday,5,0
2015-06-20,20150620,2015,Q2,2015-Q2,6,June,Jun,2015-06,25,20,Saturday,6,1
2015-06-21,20150621,2015,Q2,2015-Q2,6,June,Jun,2015-06,25,21,Sunday,7,1
2015-06-22,20150622,2015,Q2,2015-Q2,6,June,Jun,2015-06,26,22,Monday,1,0
2015-06-23,20150623,2015,Q2,2015-Q2,6,June,Jun,2015-06,26,23,Tuesday,2,0
2015-06-24,20150624,2015,Q2,2015-Q2,6,June,Jun,2015-06,26,24,Wednesday,3,0
2015-06-25,20150625,2015,Q2,2015-Q2,6,June,Jun,2015-06,26,25,Thursday,4,0
2015-06-26,20150626,2015,Q2,2015-Q2,6,June,Jun,2015-06,26,26,Friday,5,0
2015-06-27,20150627,2015,Q2,2015-Q2,6,June,Jun,2015-06,26,27,Saturday,6,1
2015-06-28,20150628,2015,Q2,2015-Q2,6,June,Jun,2015-06,26,28,Sunday,7,1
2015-06-29,20150629,2015,Q2,2015-Q2,6,June,Jun,2015-06,27,29,Monday,1,0
2015-06-30,20150630,2015,Q2,2015-Q2,6,June,Jun,2015-06,27,30,Tuesday,2,0
2015-07-01,20150701,2015,Q3,2015-Q3,7,July,Jul,2015-07,27,1,Wednesday,3,0
2015-07-02,20150702,2015,Q3,2015-Q3,7,July,Jul,2015-07,27,2,Thursday,4,0
2015-07-03,20150703,2015,Q3,2015-Q3,7,July,Jul,2015-07,27,3,Friday,5,0
